lam	flux	sigma
8.813169e+03 0.000000e+00 0.000000e+00
8.817591e+03 0.000000e+00 0.000000e+00
8.822015e+03 0.000000e+00 0.000000e+00
8.826441e+03 0.000000e+00 0.000000e+00
8.830869e+03 0.000000e+00 0.000000e+00
8.835300e+03 0.000000e+00 0.000000e+00
8.839733e+03 0.000000e+00 0.000000e+00
8.844168e+03 0.000000e+00 0.000000e+00
8.848605e+03 0.000000e+00 0.000000e+00
8.853045e+03 0.000000e+00 0.000000e+00
8.857486e+03 0.000000e+00 0.000000e+00
8.861930e+03 0.000000e+00 0.000000e+00
8.866376e+03 0.000000e+00 0.000000e+00
8.870825e+03 0.000000e+00 0.000000e+00
8.875276e+03 0.000000e+00 0.000000e+00
8.879728e+03 0.000000e+00 0.000000e+00
8.884184e+03 0.000000e+00 0.000000e+00
8.888641e+03 0.000000e+00 0.000000e+00
8.893101e+03 0.000000e+00 0.000000e+00
8.897562e+03 0.000000e+00 0.000000e+00
8.902027e+03 0.000000e+00 0.000000e+00
8.906493e+03 0.000000e+00 0.000000e+00
8.910961e+03 0.000000e+00 0.000000e+00
8.915432e+03 0.000000e+00 0.000000e+00
8.919905e+03 0.000000e+00 0.000000e+00
8.924381e+03 0.000000e+00 0.000000e+00
8.928858e+03 0.000000e+00 0.000000e+00
8.933338e+03 0.000000e+00 0.000000e+00
8.937820e+03 0.000000e+00 0.000000e+00
8.942304e+03 0.000000e+00 0.000000e+00
8.946791e+03 0.000000e+00 0.000000e+00
8.951280e+03 0.000000e+00 0.000000e+00
8.955771e+03 0.000000e+00 0.000000e+00
8.960264e+03 0.000000e+00 0.000000e+00
8.964759e+03 0.000000e+00 0.000000e+00
8.969257e+03 0.000000e+00 0.000000e+00
8.973757e+03 0.000000e+00 0.000000e+00
8.978260e+03 0.000000e+00 0.000000e+00
8.982764e+03 0.000000e+00 0.000000e+00
8.987271e+03 0.000000e+00 0.000000e+00
8.991780e+03 0.000000e+00 0.000000e+00
8.996292e+03 0.000000e+00 0.000000e+00
9.000805e+03 0.000000e+00 0.000000e+00
9.005321e+03 0.000000e+00 0.000000e+00
9.009839e+03 0.000000e+00 0.000000e+00
9.014360e+03 0.000000e+00 0.000000e+00
9.018882e+03 0.000000e+00 0.000000e+00
9.023407e+03 0.000000e+00 0.000000e+00
9.027935e+03 0.000000e+00 0.000000e+00
9.032464e+03 0.000000e+00 0.000000e+00
